日付,ニュース内容
2015.08.28,2017年度新卒採用サイト公開
2015.09.30,vine動画・スペシャルコンテンツ追加
2015.10.07,インターンシップ・会社説明会情報を追加
2015.10.23,年内の会社説明会情報を更新しました
2015.10.29,【追加開催決定！】インターンシップ情報を更新しました
2015.11.16,会社説明会情報を追加しました！
2015.12.14,2016年の採用スケジュールを追加しました！
2016.1.14,会社説明会情報を追加しました！
2016.2.10,3月の会社説明会情報を更新しました！
2016.2.10,会社説明会情報を更新しました
